Name,Brand,SKU,MPN,base_price,MSRP,Image
ZLINE 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Stainless Steel with Satin Stainless Steel Door (RA-SN-24) [Color: Stainless Steel],Zline,RA24,RA24,1799.90,1999.95,"https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_16/h_16/m_letterbox_ffffff_100 16w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_32/h_32/m_letterbox_ffffff_100 32w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_48/h_48/m_letterbox_ffffff_100 48w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_64/h_64/m_letterbox_ffffff_100 64w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_96/h_96/m_letterbox_ffffff_100 96w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_128/h_128/m_letterbox_ffffff_100 128w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_256/h_256/m_letterbox_ffffff_100 256w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_384/h_384/m_letterbox_ffffff_100 384w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_640/h_640/m_letterbox_ffffff_100 640w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_800/h_800/m_letterbox_ffffff_100 800w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_960/h_960/m_letterbox_ffffff_100 960w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_1280/h_1280/m_letterbox_ffffff_100 1280w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_1440/h_1440/m_letterbox_ffffff_100 1440w, https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100 1920w"
ZLINE 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel (RAS-SN-24) [Color: DuraSnow With Brass Burners],Zline,RASSNBR24,RASSNBR24,2499.95,1049.95,https://images.webfronts.com/cache/frwkfvcbpuwu.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel (RAS-SN-24) [Color: DuraSnow With Brass Burners],Zline,RASSNBR24,RASSNBR24,2499.95,,https://images.webfronts.com/cache/frwkfvcbpuwu.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
"Prestige 36"" Dual Fuel Single Oven Range - Stainless Steel",Prestige,VPFSGE365SS,VPFSGE365SS,2999.99,3999.0,https://images.webfronts.com/cache/meaasmoajxlv.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
"Prestige 36"" Dual Fuel Single Oven Range - Stainless Steel",Prestige,Verona,Verona,2999.99,3999.0,https://images.webfronts.com/cache/meaasmoajxlv.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel (RAS-SN-24) [Color: DuraSnow With Brass Burners],Zline Kitchen And Bath,RASSNBR24,RASSNBR24,2499.95,,https://images.webfronts.com/cache/frwkfvcbpuwu.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
"Prestige 36"" Dual Fuel Single Oven Range - Stainless Steel",Verona,VPFSGE365SS,VPFSGE365SS,2999.99,3999.0,https://images.webfronts.com/cache/meaasmoajxlv.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE 36 in. 4.6 cu. ft. Legacy Dual Fuel Range with Gas Cooktop and Electric Convection Oven in Stainless Steel with 6 Brass Burners (RA-BR-36),Zline Kitchen And Bath,RABR36,RABR36,2969.90,3299.95,https://images.webfronts.com/cache/frmokqapoaej.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE Autograph Edition 36 in. 4.6 cu. ft. Legacy Dual Fuel Range with 6 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel with White Matte Door and Champagne Bronze Accents (RASZ-WM-36-CB) [Color: Gold],Zline Kitchen And Bath,RASZWM36G,RASZWM36G,3644.90,4049.95,https://images.webfronts.com/cache/frzdjpacayfq.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE Autograph Edition 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Stainless Steel [Color: Matte Black],Zline Kitchen And Bath,RAZWM24MB,RAZWM24MB,3299.95,,https://images.webfronts.com/cache/frztbgypzrzg.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE Autograph Edition 36 in. 4.6 cu. ft. Legacy Dual Fuel Range with 6 Burner Gas Cooktop and Electric Convection Oven [Color: Matte Black],Zline Kitchen And Bath,RAZ36MB,RAZ36MB,3464.90,3849.95,https://images.webfronts.com/cache/frtcvfrpfmvi.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE Autograph Edition 36 in. 4.6 cu. ft. Legacy Dual Fuel Range with 6 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel and Champagne Bronze Accents (RASZ-SN-36-CB) [Color: Champagne Bronze],Zline Kitchen And Bath,RASZSN36CB,RASZSN36CB,3599.90,3999.95,https://images.webfronts.com/cache/frreucprglzm.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
LG SIGNATURE 7.3 cu.ft. Smart wi-fi Enabled Dual Fuel Double Oven Range with ProBake Convection®,Lg,LUTD4919SN,LUTD4919SN,3499.00,4069.0,https://images.webfronts.com/cache/frhhfuyalafo.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"24 inch All Gas Range, 4 Burners Stainless Steel",Bertazzoni,PRO244GASXV,PRO244GASXV,3815.00,,https://images.webfronts.com/cache/mepofhbherbe.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
30-inch Gas Slide-in Oven Range,Signature Kitchen Suite,UPSG3014ST,UPSG3014ST,3999.00,,https://images.webfronts.com/cache/frzcgdhkjwga.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
"Designer 36"" Gas Single Oven Range - Stainless Steel",Verona,VDFSGG365SS,VDFSGG365SS,3499.99,4849.0,https://images.webfronts.com/cache/mewhbvbindse.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE Autograph Edition 30 in. 4.0 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel and Champagne Bronze Accents (RASZ-SN-30-CB) [Color: Champagne Bronze],Zline Kitchen And Bath,RASZSN30CB,RASZSN30CB,3499.90,3499.95,https://images.webfronts.com/cache/fruqpybgbdny.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Stainless Steel with Satin Stainless Steel Door (RA-SN-24) [Color: Stainless Steel],Zline Kitchen And Bath,RA24,RA24,1799.90,1999.95,https://images.webfronts.com/cache/frptvoligupf.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"30"" Gas Range, Silver Stainless Steel, Liquid Propane/High Altitude",Dacor,HGR30PSLPH,HGR30PSLPH,2999.99,3999.0,https://images.webfronts.com/cache/frpjctjvrger.png?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"Master 24"" Range All Gas SS",Bertazzoni,MAS244GASXVLP,MAS244GASXVLP,3815.00,,https://images.webfronts.com/cache/meexpbmtjwjw.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"Prestige 36"" Gas Double Oven Range - Stainless Steel",Verona,VPFSGG365DSS,VPFSGG365DSS,3699.99,4949.0,https://images.webfronts.com/cache/meqbcxvafvar.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE Autograph Edition 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel and Champagne Bronze Accents (RASZ-SN-24-CB) [Color: Matte Black],Zline Kitchen And Bath,RASZSN24MB,RASZSN24MB,3299.95,,https://images.webfronts.com/cache/frzjopiyzjyz.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"ZLINE Autograph Edition 30"" 4.0 cu. ft. Dual Fuel Range with Gas Stove and Electric Oven in Black Stainless Steel with Accents (RABZ-30) [Color: Champagne Bronze]",Zline Kitchen And Bath,RABZ30CB,RABZ30CB,3599.90,3999.95,https://images.webfronts.com/cache/frxlalznrbyt.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
